Date,Weekly_Sales,IsHoliday
05/02/2010,24924.5,FALSE
12/02/2010,46039.49,TRUE
19/02/2010,41595.55,FALSE
26/02/2010,19403.54,FALSE
05/03/2010,21827.9,FALSE
12/03/2010,21043.39,FALSE
19/03/2010,22136.64,FALSE
26/03/2010,26229.21,FALSE
02/04/2010,57258.43,FALSE
09/04/2010,42960.91,FALSE
16/04/2010,17596.96,FALSE
23/04/2010,16145.35,FALSE
30/04/2010,16555.11,FALSE
07/05/2010,17413.94,FALSE
14/05/2010,18926.74,FALSE
21/05/2010,14773.04,FALSE
28/05/2010,15580.43,FALSE
04/06/2010,17558.09,FALSE
11/06/2010,16637.62,FALSE
18/06/2010,16216.27,FALSE
25/06/2010,16328.72,FALSE
02/07/2010,16333.14,FALSE
09/07/2010,17688.76,FALSE
16/07/2010,17150.84,FALSE
23/07/2010,15360.45,FALSE
30/07/2010,15381.82,FALSE
06/08/2010,17508.41,FALSE
13/08/2010,15536.4,FALSE
20/08/2010,15740.13,FALSE
27/08/2010,15793.87,FALSE
03/09/2010,16241.78,FALSE
10/09/2010,18194.74,TRUE
17/09/2010,19354.23,FALSE
24/09/2010,18122.52,FALSE
01/10/2010,20094.19,FALSE
08/10/2010,23388.03,FALSE
15/10/2010,26978.34,FALSE
22/10/2010,25543.04,FALSE
29/10/2010,38640.93,FALSE
05/11/2010,34238.88,FALSE
12/11/2010,19549.39,FALSE
19/11/2010,19552.84,FALSE
26/11/2010,18820.29,TRUE
03/12/2010,22517.56,FALSE
10/12/2010,31497.65,FALSE
17/12/2010,44912.86,FALSE
24/12/2010,55931.23,FALSE
31/12/2010,19124.58,TRUE
07/01/2011,15984.24,FALSE
14/01/2011,17359.7,FALSE
21/01/2011,17341.47,FALSE
28/01/2011,18461.18,FALSE
04/02/2011,21665.76,FALSE
11/02/2011,37887.17,TRUE
18/02/2011,46845.87,FALSE
25/02/2011,19363.83,FALSE
04/03/2011,20327.61,FALSE
11/03/2011,21280.4,FALSE
18/03/2011,20334.23,FALSE
25/03/2011,20881.1,FALSE
01/04/2011,20398.09,FALSE
08/04/2011,23873.79,FALSE
15/04/2011,28762.37,FALSE
22/04/2011,50510.31,FALSE
29/04/2011,41512.39,FALSE
06/05/2011,20138.19,FALSE
13/05/2011,17235.15,FALSE
20/05/2011,15136.78,FALSE
27/05/2011,15741.6,FALSE
03/06/2011,16434.15,FALSE
10/06/2011,15883.52,FALSE
17/06/2011,14978.09,FALSE
24/06/2011,15682.81,FALSE
01/07/2011,15363.5,FALSE
08/07/2011,16148.87,FALSE
15/07/2011,15654.85,FALSE
22/07/2011,15766.6,FALSE
29/07/2011,15922.41,FALSE
05/08/2011,15295.55,FALSE
12/08/2011,14539.79,FALSE
19/08/2011,14689.24,FALSE
26/08/2011,14537.37,FALSE
02/09/2011,15277.27,FALSE
09/09/2011,17746.68,TRUE
16/09/2011,18535.48,FALSE
23/09/2011,17859.3,FALSE
30/09/2011,18337.68,FALSE
07/10/2011,20797.58,FALSE
14/10/2011,23077.55,FALSE
21/10/2011,23351.8,FALSE
28/10/2011,31579.9,FALSE
04/11/2011,39886.06,FALSE
11/11/2011,18689.54,FALSE
18/11/2011,19050.66,FALSE
25/11/2011,20911.25,TRUE
02/12/2011,25293.49,FALSE
09/12/2011,33305.92,FALSE
16/12/2011,45773.03,FALSE
23/12/2011,46788.75,FALSE
30/12/2011,23350.88,TRUE
06/01/2012,16567.69,FALSE
13/01/2012,16894.4,FALSE
20/01/2012,18365.1,FALSE
27/01/2012,18378.16,FALSE
03/02/2012,23510.49,FALSE
10/02/2012,36988.49,TRUE
17/02/2012,54060.1,FALSE
24/02/2012,20124.22,FALSE
02/03/2012,20113.03,FALSE
09/03/2012,21140.07,FALSE
16/03/2012,22366.88,FALSE
23/03/2012,22107.7,FALSE
30/03/2012,28952.86,FALSE
06/04/2012,57592.12,FALSE
13/04/2012,34684.21,FALSE
20/04/2012,16976.19,FALSE
27/04/2012,16347.6,FALSE
04/05/2012,17147.44,FALSE
11/05/2012,18164.2,FALSE
18/05/2012,18517.79,FALSE
25/05/2012,16963.55,FALSE
01/06/2012,16065.49,FALSE
08/06/2012,17666,FALSE
15/06/2012,17558.82,FALSE
22/06/2012,16633.41,FALSE
29/06/2012,15722.82,FALSE
06/07/2012,17823.37,FALSE
13/07/2012,16566.18,FALSE
20/07/2012,16348.06,FALSE
27/07/2012,15731.18,FALSE
03/08/2012,16628.31,FALSE
10/08/2012,16119.92,FALSE
17/08/2012,17330.7,FALSE
24/08/2012,16286.4,FALSE
31/08/2012,16680.24,FALSE
07/09/2012,18322.37,TRUE
14/09/2012,19616.22,FALSE
21/09/2012,19251.5,FALSE
28/09/2012,18947.81,FALSE
05/10/2012,21904.47,FALSE
12/10/2012,22764.01,FALSE
19/10/2012,24185.27,FALSE
26/10/2012,27390.81,FALSE
