ds,y
2016-12-31 00:00:00,65.58822828629708
2016-12-31 01:00:00,39.727371375082605
2016-12-31 02:00:00,42.191468296171074
2016-12-31 03:00:00,57.025335649813094
2016-12-31 04:00:00,36.00301408620862
2016-12-31 05:00:00,40.357862862417846
2016-12-31 06:00:00,45.63911833920102
2016-12-31 07:00:00,34.829423424562016
2016-12-31 08:00:00,43.85955431906894
2016-12-31 09:00:00,45.71971586958636
2016-12-31 10:00:00,46.26412362565232
2016-12-31 11:00:00,43.85503570733119
2016-12-31 12:00:00,48.102297035587235
2016-12-31 13:00:00,51.365457842148594
2016-12-31 14:00:00,75.26461837412022
2016-12-31 15:00:00,93.35543162371926
2016-12-31 16:00:00,44.34415985210611
2016-12-31 17:00:00,48.98606967980854
2016-12-31 18:00:00,50.18508231220745
2016-12-31 19:00:00,76.06666652105854
2016-12-31 20:00:00,67.2314342897188
2016-12-31 21:00:00,54.87367901705871
2016-12-31 22:00:00,46.253066022350275
2016-12-31 23:00:00,66.52282592160337
2016-12-31 00:00:00,51.35448290542089
2016-12-31 01:00:00,57.25188693731899
2016-12-31 02:00:00,40.10674409139352
2016-12-31 03:00:00,39.395868225389215
2016-12-31 04:00:00,42.8512266610543
2016-12-31 05:00:00,39.69414710812421
2016-12-31 06:00:00,40.462097394821775
2016-12-31 07:00:00,27.041402638481177
2016-12-31 08:00:00,51.83170317678215
2016-12-31 09:00:00,44.39510119972391
2016-12-31 10:00:00,49.400859049809604
2016-12-31 11:00:00,81.52795475682754
2016-12-31 12:00:00,59.39896188514538
2016-12-31 13:00:00,63.44611298585425
2016-12-31 14:00:00,59.09485283515732
2016-12-31 15:00:00,48.863701502203426
2016-12-31 16:00:00,79.07190706862393
2016-12-31 17:00:00,71.06981429981828
2016-12-31 18:00:00,55.03353421811811
2016-12-31 19:00:00,86.75891176610571
2016-12-31 20:00:00,139.2142191621438
2016-12-31 21:00:00,47.49152787499054
2016-12-31 22:00:00,47.934099506039416
2016-12-31 23:00:00,73.49129356486911
